Date,Price,Open,High,Low,Change %,diff_1,label
2021-01-01,1.2212,1.2216,1.2217,1.221,-0.01%,-9.999999999998899e-05,0.0
2021-01-04,1.2248,1.2231,1.231,1.2223,0.29%,0.0036000000000000476,2.0
2021-01-05,1.2294,1.2247,1.2307,1.2246,0.38%,0.0045999999999999375,2.0
2021-01-06,1.2325,1.2296,1.235,1.2265,0.25%,0.0030999999999998806,2.0
2021-01-07,1.227,1.2327,1.2346,1.2244,-0.45%,-0.005499999999999838,1.0
2021-01-08,1.2218,1.2273,1.2284,1.2191,-0.42%,-0.0052000000000000934,1.0
2021-01-11,1.2149,1.2217,1.2227,1.2132,-0.56%,-0.006899999999999906,1.0
2021-01-12,1.2207,1.2152,1.2211,1.2136,0.48%,0.005799999999999805,2.0
2021-01-13,1.2157,1.2208,1.2224,1.214,-0.41%,-0.004999999999999893,1.0
2021-01-14,1.2156,1.2157,1.2179,1.2111,-0.01%,-9.999999999998899e-05,0.0
2021-01-15,1.2078,1.2155,1.2163,1.2074,-0.64%,-0.007800000000000029,1.0
2021-01-18,1.2076,1.2085,1.2091,1.2054,-0.02%,-0.00019999999999997797,0.0
2021-01-19,1.2128,1.2078,1.2146,1.2074,0.43%,0.0052000000000000934,2.0
2021-01-20,1.2104,1.2127,1.2158,1.2076,-0.20%,-0.0024000000000001798,1.0
2021-01-21,1.2162,1.2106,1.2175,1.2103,0.48%,0.005800000000000027,2.0
2021-01-22,1.2167,1.2164,1.2191,1.2151,0.04%,0.0004999999999999449,0.0
2021-01-25,1.2137,1.2168,1.2184,1.2115,-0.25%,-0.0029999999999998916,1.0
2021-01-26,1.216,1.2138,1.2177,1.2107,0.19%,0.0022999999999999687,2.0
2021-01-27,1.2108,1.216,1.217,1.2057,-0.43%,-0.005199999999999871,1.0
2021-01-28,1.2121,1.2109,1.2142,1.2079,0.11%,0.0012999999999998568,0.0
2021-01-29,1.2136,1.2121,1.2156,1.2093,0.12%,0.0015000000000000568,0.0
2021-02-01,1.2059,1.214,1.2146,1.2054,-0.63%,-0.00770000000000004,1.0
2021-02-02,1.2042,1.2059,1.2089,1.2011,-0.14%,-0.0017000000000000348,0.0
2021-02-03,1.2034,1.2044,1.205,1.2003,-0.07%,-0.0007999999999999119,0.0
2021-02-04,1.1962,1.2033,1.2043,1.1957,-0.60%,-0.007200000000000095,1.0
2021-02-05,1.2042,1.1964,1.205,1.1952,0.67%,0.008000000000000007,2.0
2021-02-08,1.2048,1.2042,1.2067,1.2019,0.05%,0.000600000000000156,0.0
2021-02-09,1.2117,1.2048,1.2122,1.2045,0.57%,0.006899999999999906,2.0
2021-02-10,1.2116,1.2119,1.2145,1.2108,-0.01%,-9.999999999998899e-05,0.0
2021-02-11,1.2128,1.2118,1.215,1.2112,0.10%,0.0012000000000000899,0.0
2021-02-12,1.2118,1.213,1.2135,1.2081,-0.08%,-0.001000000000000112,0.0
2021-02-15,1.2127,1.2123,1.2146,1.2116,0.07%,0.0008999999999999009,0.0
2021-02-16,1.2104,1.213,1.217,1.2095,-0.19%,-0.0022999999999999687,1.0
2021-02-17,1.2036,1.2107,1.2111,1.2023,-0.56%,-0.006799999999999917,1.0
2021-02-18,1.2088,1.2037,1.2096,1.2035,0.43%,0.0052000000000000934,2.0
2021-02-19,1.2117,1.2091,1.2145,1.2082,0.24%,0.0028999999999999027,2.0
2021-02-22,1.2154,1.2117,1.217,1.2091,0.31%,0.0037000000000000366,2.0
2021-02-23,1.2149,1.2155,1.2181,1.2135,-0.04%,-0.0004999999999999449,0.0
2021-02-24,1.2164,1.215,1.2176,1.2109,0.12%,0.0014999999999998348,0.0
2021-02-25,1.2176,1.2163,1.2243,1.2155,0.10%,0.0012000000000000899,0.0
2021-02-26,1.2074,1.2176,1.2185,1.2062,-0.84%,-0.010199999999999987,1.0
2021-03-01,1.2047,1.2079,1.2102,1.2027,-0.22%,-0.0026999999999999247,1.0
2021-03-02,1.2089,1.2049,1.2095,1.1991,0.35%,0.0041999999999999815,2.0
2021-03-03,1.2062,1.2091,1.2113,1.2042,-0.22%,-0.0027000000000001467,1.0
2021-03-04,1.1966,1.2063,1.2068,1.1961,-0.80%,-0.009599999999999831,1.0
2021-03-05,1.1917,1.1968,1.1978,1.1894,-0.41%,-0.0049000000000001265,1.0
2021-03-08,1.1843,1.1922,1.1933,1.1844,-0.62%,-0.007400000000000073,1.0
2021-03-09,1.1898,1.1847,1.1917,1.1835,0.46%,0.00550000000000006,2.0
2021-03-10,1.1925,1.19,1.1931,1.1868,0.23%,0.0026999999999999247,2.0
2021-03-11,1.1984,1.1928,1.199,1.1916,0.49%,0.005900000000000016,2.0
2021-03-12,1.1952,1.1983,1.199,1.191,-0.27%,-0.0031999999999998696,1.0
2021-03-15,1.1928,1.1952,1.1968,1.1911,-0.20%,-0.0023999999999999577,1.0
2021-03-16,1.19,1.1929,1.1953,1.1882,-0.23%,-0.0028000000000001357,1.0
2021-03-17,1.1978,1.1906,1.1986,1.1885,0.66%,0.007800000000000029,2.0
2021-03-18,1.1915,1.1979,1.199,1.1906,-0.53%,-0.006299999999999972,1.0
2021-03-19,1.1903,1.1915,1.1939,1.1874,-0.10%,-0.0012000000000000899,0.0
2021-03-22,1.1931,1.1899,1.1947,1.1871,0.24%,0.0028000000000001357,2.0
2021-03-23,1.1849,1.1935,1.1941,1.1841,-0.69%,-0.008199999999999985,1.0
2021-03-24,1.1812,1.1851,1.1854,1.1809,-0.31%,-0.0037000000000000366,1.0
2021-03-25,1.1764,1.1813,1.1829,1.1761,-0.41%,-0.0048000000000001375,1.0
2021-03-26,1.1796,1.1763,1.1805,1.1763,0.27%,0.0032000000000000917,2.0
2021-03-29,1.1762,1.1795,1.1797,1.176,-0.29%,-0.0034000000000000696,1.0
2021-03-30,1.1714,1.1764,1.1774,1.1711,-0.41%,-0.0047999999999999154,1.0
2021-03-31,1.1728,1.1716,1.176,1.1703,0.12%,0.0014000000000000679,0.0
2021-04-01,1.1775,1.1731,1.1781,1.1712,0.40%,0.0046999999999999265,2.0
2021-04-02,1.1762,1.1777,1.1788,1.1748,-0.11%,-0.0013000000000000789,0.0
2021-04-05,1.1811,1.1761,1.182,1.1738,0.42%,0.0049000000000001265,2.0
2021-04-06,1.1875,1.1814,1.1878,1.1795,0.54%,0.006399999999999961,2.0
2021-04-07,1.187,1.1875,1.1916,1.1861,-0.04%,-0.0004999999999999449,0.0
2021-04-08,1.1912,1.1867,1.1928,1.1861,0.35%,0.0041999999999999815,2.0
2021-04-09,1.1896,1.1913,1.1921,1.1867,-0.13%,-0.0016000000000000458,0.0
2021-04-12,1.1909,1.1891,1.192,1.187,0.11%,0.0013000000000000789,0.0
2021-04-13,1.1946,1.1911,1.1956,1.1878,0.31%,0.0037000000000000366,2.0
2021-04-14,1.1978,1.1948,1.1988,1.1947,0.27%,0.0031999999999998696,2.0
2021-04-15,1.1965,1.198,1.1995,1.1955,-0.11%,-0.0013000000000000789,0.0
2021-04-16,1.1983,1.1967,1.1996,1.195,0.15%,0.0018000000000000238,0.0
2021-04-19,1.2033,1.1984,1.2049,1.1942,0.42%,0.0050000000000001155,2.0
2021-04-20,1.2033,1.2036,1.2081,1.2022,0.00%,0.0,0.0
2021-04-21,1.2033,1.2037,1.2045,1.1998,0.00%,0.0,0.0
2021-04-22,1.2015,1.2035,1.207,1.1993,-0.15%,-0.0018000000000000238,0.0
2021-04-23,1.2099,1.2015,1.21,1.2012,0.70%,0.008399999999999963,2.0
2021-04-26,1.2083,1.2093,1.2118,1.2061,-0.13%,-0.0016000000000000458,0.0
2021-04-27,1.209,1.2086,1.2093,1.2056,0.06%,0.000700000000000145,0.0
2021-04-28,1.2123,1.2091,1.2135,1.2055,0.27%,0.0032999999999998586,2.0
2021-04-29,1.2118,1.2126,1.215,1.2102,-0.04%,-0.0004999999999999449,0.0
2021-04-30,1.2018,1.2116,1.2127,1.2016,-0.83%,-0.010000000000000009,1.0
2021-05-03,1.2061,1.2031,1.2076,1.2012,0.36%,0.0042999999999999705,2.0
2021-05-04,1.2013,1.2064,1.2066,1.1998,-0.40%,-0.0047999999999999154,1.0
2021-05-05,1.2005,1.2013,1.2027,1.1985,-0.07%,-0.0008000000000001339,0.0
2021-05-06,1.2064,1.2005,1.2072,1.1992,0.49%,0.005900000000000016,2.0
2021-05-07,1.2163,1.2066,1.2172,1.2053,0.82%,0.00990000000000002,2.0
2021-05-10,1.2129,1.2161,1.2178,1.2127,-0.28%,-0.0033999999999998476,1.0
2021-05-11,1.2146,1.2129,1.2182,1.2122,0.14%,0.0016999999999998128,0.0
2021-05-12,1.2069,1.2148,1.2153,1.2065,-0.63%,-0.007699999999999818,1.0
2021-05-13,1.2078,1.2073,1.2108,1.205,0.07%,0.0008999999999999009,0.0
2021-05-14,1.214,1.208,1.215,1.207,0.51%,0.006199999999999983,2.0
2021-05-17,1.2151,1.214,1.217,1.2126,0.09%,0.001100000000000101,0.0
2021-05-18,1.222,1.2153,1.2234,1.2151,0.57%,0.006899999999999906,2.0
2021-05-19,1.2172,1.2222,1.2246,1.216,-0.39%,-0.0047999999999999154,1.0
2021-05-20,1.2226,1.2171,1.223,1.2169,0.44%,0.005399999999999849,2.0
2021-05-21,1.2179,1.2228,1.2241,1.2161,-0.38%,-0.0046999999999999265,1.0
2021-05-24,1.2215,1.2178,1.223,1.2172,0.30%,0.0036000000000000476,2.0
2021-05-25,1.225,1.2217,1.2267,1.2211,0.29%,0.0035000000000000586,2.0
2021-05-26,1.219,1.2251,1.2263,1.2182,-0.49%,-0.006000000000000005,1.0
2021-05-27,1.2192,1.2192,1.2216,1.2175,0.02%,0.00019999999999997797,0.0
2021-05-28,1.2189,1.2195,1.2205,1.2132,-0.02%,-0.00029999999999996696,0.0
2021-05-31,1.2225,1.2192,1.2233,1.2183,0.30%,0.0035999999999998256,2.0
2021-06-01,1.2211,1.2227,1.2255,1.2211,-0.11%,-0.0013999999999998458,0.0
2021-06-02,1.2209,1.2214,1.2227,1.2163,-0.02%,-0.00019999999999997797,0.0
2021-06-03,1.2124,1.221,1.2217,1.2118,-0.70%,-0.008500000000000174,1.0
2021-06-04,1.2165,1.2129,1.2186,1.2104,0.34%,0.0040999999999999925,2.0
2021-06-07,1.2189,1.2168,1.2203,1.2145,0.20%,0.0024000000000001798,2.0
2021-06-08,1.2171,1.219,1.2196,1.2163,-0.15%,-0.0018000000000000238,0.0
2021-06-09,1.2178,1.2173,1.2219,1.217,0.06%,0.0006999999999999229,0.0
2021-06-10,1.2169,1.2181,1.2195,1.2142,-0.07%,-0.0008999999999999009,0.0
2021-06-11,1.2106,1.217,1.2196,1.2092,-0.52%,-0.006300000000000194,1.0
2021-06-14,1.2118,1.211,1.2131,1.2093,0.10%,0.0012000000000000899,0.0
2021-06-15,1.2124,1.212,1.2149,1.21,0.05%,0.0005999999999999339,0.0
2021-06-16,1.1994,1.2127,1.2135,1.1993,-1.07%,-0.0129999999999999,1.0
2021-06-17,1.1906,1.1996,1.2007,1.1891,-0.73%,-0.008799999999999919,1.0
2021-06-18,1.186,1.1908,1.1926,1.1846,-0.39%,-0.0046000000000001595,1.0
2021-06-21,1.1915,1.1868,1.1922,1.1847,0.46%,0.00550000000000006,2.0
2021-06-22,1.1938,1.1918,1.1954,1.1881,0.19%,0.0022999999999999687,2.0
2021-06-23,1.1925,1.1939,1.197,1.1911,-0.11%,-0.0013000000000000789,0.0
2021-06-24,1.193,1.1927,1.1957,1.1918,0.04%,0.000500000000000167,0.0
2021-06-25,1.1933,1.1932,1.1976,1.1925,0.03%,0.00029999999999996696,0.0
2021-06-28,1.1924,1.1935,1.1946,1.1902,-0.08%,-0.0009000000000001229,0.0
2021-06-29,1.1895,1.1926,1.1932,1.1877,-0.24%,-0.0028999999999999027,1.0
2021-06-30,1.1855,1.1897,1.191,1.1845,-0.34%,-0.0040000000000000036,1.0
2021-07-01,1.1848,1.1859,1.1885,1.1837,-0.06%,-0.0006999999999999229,0.0
2021-07-02,1.1864,1.1849,1.1875,1.1806,0.14%,0.0015999999999998238,0.0
2021-07-05,1.1861,1.1862,1.1882,1.1851,-0.03%,-0.00029999999999996696,0.0
2021-07-06,1.1822,1.1863,1.1896,1.1806,-0.33%,-0.0039000000000000146,1.0
2021-07-07,1.1789,1.1823,1.1839,1.1782,-0.28%,-0.0032999999999998586,1.0
2021-07-08,1.1842,1.1792,1.1868,1.1783,0.45%,0.00529999999999986,2.0
2021-07-09,1.1873,1.1844,1.1882,1.1825,0.26%,0.0031000000000001027,2.0
2021-07-12,1.1859,1.1872,1.1881,1.1836,-0.12%,-0.0014000000000000679,0.0
2021-07-13,1.1774,1.1862,1.1876,1.1772,-0.72%,-0.008499999999999952,1.0
2021-07-14,1.1835,1.1776,1.1839,1.1772,0.52%,0.006099999999999994,2.0
2021-07-15,1.1812,1.1837,1.1852,1.1796,-0.19%,-0.0022999999999999687,1.0
2021-07-16,1.1805,1.1814,1.1823,1.1791,-0.06%,-0.0006999999999999229,0.0
2021-07-19,1.1798,1.1808,1.1825,1.1763,-0.06%,-0.000700000000000145,0.0
2021-07-20,1.1779,1.1801,1.1805,1.1755,-0.16%,-0.0019000000000000128,0.0
2021-07-21,1.1792,1.1782,1.1805,1.1752,0.11%,0.0013000000000000789,0.0
2021-07-22,1.177,1.1793,1.1831,1.1757,-0.19%,-0.0021999999999999797,1.0
2021-07-23,1.1771,1.1769,1.1788,1.1753,0.01%,9.999999999998899e-05,0.0
2021-07-26,1.1799,1.1778,1.1818,1.1763,0.24%,0.0027999999999999137,2.0
2021-07-27,1.1814,1.1804,1.1841,1.1769,0.13%,0.0015000000000000568,0.0
2021-07-28,1.1842,1.1817,1.1851,1.1773,0.24%,0.0027999999999999137,2.0
2021-07-29,1.1886,1.1845,1.1894,1.184,0.37%,0.0044000000000001815,2.0
2021-07-30,1.187,1.1888,1.191,1.1851,-0.13%,-0.0016000000000000458,0.0
2021-08-02,1.1867,1.1864,1.1897,1.1858,-0.03%,-0.00029999999999996696,0.0
2021-08-03,1.186,1.1868,1.1894,1.1853,-0.06%,-0.000700000000000145,0.0
2021-08-04,1.1835,1.1864,1.1901,1.1832,-0.21%,-0.0024999999999999467,1.0
2021-08-05,1.1832,1.1837,1.1858,1.1827,-0.03%,-0.00029999999999996696,0.0
2021-08-06,1.176,1.1834,1.1837,1.1753,-0.61%,-0.007200000000000095,1.0
2021-08-09,1.1737,1.1762,1.1769,1.1734,-0.20%,-0.0022999999999999687,1.0
2021-08-10,1.1718,1.1738,1.1744,1.171,-0.16%,-0.0019000000000000128,0.0
2021-08-11,1.1737,1.172,1.1753,1.1705,0.16%,0.0019000000000000128,0.0
2021-08-12,1.1727,1.1738,1.1749,1.1724,-0.09%,-0.0009999999999998899,0.0
2021-08-13,1.1791,1.173,1.1805,1.1727,0.55%,0.006399999999999961,2.0
2021-08-16,1.1777,1.1794,1.1802,1.1767,-0.12%,-0.0014000000000000679,0.0
2021-08-17,1.1708,1.1776,1.1786,1.1708,-0.59%,-0.006899999999999906,1.0
2021-08-18,1.171,1.171,1.1743,1.1694,0.02%,0.00019999999999997797,0.0
2021-08-19,1.1674,1.1711,1.1717,1.1666,-0.31%,-0.0036000000000000476,1.0
2021-08-20,1.1696,1.1675,1.1705,1.1664,0.19%,0.0021999999999999797,2.0
2021-08-23,1.1743,1.1694,1.1751,1.1691,0.40%,0.0046999999999999265,2.0
2021-08-24,1.1753,1.1746,1.1766,1.1726,0.09%,0.001000000000000112,0.0
2021-08-25,1.177,1.1754,1.1775,1.1725,0.14%,0.0017000000000000348,0.0
2021-08-26,1.175,1.1772,1.1781,1.1746,-0.17%,-0.0020000000000000018,1.0
2021-08-27,1.1793,1.1752,1.1803,1.1734,0.37%,0.0042999999999999705,2.0
2021-08-30,1.1795,1.1793,1.181,1.1782,0.02%,0.00019999999999997797,0.0
2021-08-31,1.1807,1.1797,1.1848,1.1795,0.10%,0.0012000000000000899,0.0
2021-09-01,1.1837,1.181,1.1858,1.1793,0.25%,0.0029999999999998916,2.0
2021-09-02,1.1873,1.1839,1.1877,1.1834,0.30%,0.0036000000000000476,2.0
2021-09-03,1.1882,1.1875,1.191,1.1866,0.08%,0.0008999999999999009,0.0
2021-09-06,1.1868,1.1879,1.1888,1.1855,-0.12%,-0.0013999999999998458,0.0
2021-09-07,1.1839,1.187,1.1885,1.1837,-0.24%,-0.0029000000000001247,1.0
2021-09-08,1.1813,1.184,1.1852,1.1802,-0.22%,-0.0025999999999999357,1.0
2021-09-09,1.1825,1.1817,1.1842,1.1804,0.10%,0.0012000000000000899,0.0
2021-09-10,1.1814,1.1826,1.1852,1.1809,-0.09%,-0.001100000000000101,0.0
2021-09-13,1.1808,1.1813,1.1818,1.1769,-0.05%,-0.0005999999999999339,0.0
2021-09-14,1.1802,1.1812,1.1846,1.1799,-0.05%,-0.000600000000000156,0.0
2021-09-15,1.1815,1.1806,1.1833,1.1798,0.11%,0.0013000000000000789,0.0
2021-09-16,1.1764,1.1816,1.1822,1.1751,-0.43%,-0.0051000000000001044,1.0
2021-09-17,1.1725,1.1762,1.1789,1.1724,-0.33%,-0.0038999999999997925,1.0
2021-09-20,1.1725,1.1732,1.1737,1.17,0.00%,0.0,0.0
2021-09-21,1.1723,1.1726,1.1751,1.1715,-0.02%,-0.00020000000000020002,0.0
2021-09-22,1.1686,1.1726,1.1757,1.1683,-0.32%,-0.0036999999999998145,1.0
2021-09-23,1.1736,1.1686,1.1751,1.1683,0.43%,0.004999999999999893,2.0
2021-09-24,1.1714,1.1738,1.1748,1.17,-0.19%,-0.0021999999999999797,1.0
2021-09-27,1.1694,1.1724,1.1728,1.1684,-0.17%,-0.0020000000000000018,1.0
2021-09-28,1.1681,1.1696,1.1704,1.1667,-0.11%,-0.0013000000000000789,0.0
2021-09-29,1.1595,1.1683,1.1691,1.1589,-0.74%,-0.008599999999999941,1.0
2021-09-30,1.1581,1.1596,1.1611,1.1562,-0.12%,-0.0014000000000000679,0.0
2021-10-01,1.1594,1.1582,1.1608,1.1563,0.11%,0.0013000000000000789,0.0
2021-10-04,1.1621,1.1593,1.1641,1.1587,0.23%,0.0026999999999999247,2.0
2021-10-05,1.1596,1.1623,1.1623,1.158,-0.22%,-0.0024999999999999467,1.0
2021-10-06,1.1556,1.1603,1.1605,1.1529,-0.34%,-0.0040000000000000036,1.0
2021-10-07,1.155,1.1556,1.1573,1.1547,-0.05%,-0.0005999999999999339,0.0
2021-10-08,1.1567,1.1551,1.1586,1.154,0.15%,0.0017000000000000348,0.0
2021-10-11,1.1551,1.1571,1.1588,1.1549,-0.14%,-0.0016000000000000458,0.0
2021-10-12,1.1527,1.1555,1.1571,1.1524,-0.21%,-0.0023999999999999577,1.0
2021-10-13,1.1592,1.1528,1.1598,1.1527,0.56%,0.00649999999999995,2.0
2021-10-14,1.1594,1.1593,1.1625,1.1583,0.02%,0.00019999999999997797,0.0
2021-10-15,1.16,1.1599,1.1621,1.1588,0.05%,0.0005999999999999339,0.0
